date,time,co2_flux,h2o_flux,wind_speed,wind_dir,turbulence,air_temp_k,air_temp_c,air_pressure,ET,humidity_percent,specific_humidity,co2_mixing_ratio,co2_mole_fraction,air_density
21/2/2025,12:00,-0.278711364,3.61504,0.430155,174.245,0.253335,295.486,22.336,101859,0.234254,29.6959,4.89E-03,514.031,510,1.19737
21/2/2025,13:00,-1.372663636,2.71808,1.01474,332.546,0.242067,298.902,25.752,101744,0.176132,25.7186,5.21E-03,516.814,512.5,1.18213
21/2/2025,13:30,-0.273304545,7.00759,1.61079,315.974,0.238816,299.808,26.658,101705,0.454092,24.9615,5.34E-03,524.182,519.701,1.17801
21/2/2025,14:30,-1.151747727,2.21089,0.782804,152.405,0.263815,301.554,28.404,101609,0.143265,23.5882,5.59E-03,526.944,522.225,1.1699
21/2/2025,15:00,-2.267697727,-7.86E-02,1.27272,52.7233,0.210147,302.371,29.221,101558,-5.09E-03,21.8348,5.43E-03,534.888,530.236,1.16627
21/2/2025,15:30,-0.481404545,6.36612,0.644632,110.313,0.208651,302.646,29.496,101514,0.412525,21.9686,5.55E-03,539.517,534.719,1.16463
21/2/2025,17:30,-0.948068182,2.52519,1.05261,81.0336,0.258268,304.46,31.31,101374,0.163632,19.6139,5.51E-03,548.373,543.537,1.15612
21/2/2025,18:30,1.106777273,5.75312,1.7838,103.153,0.227191,304.088,30.938,101346,0.372802,21.153,5.82E-03,494.132,489.529,1.157
21/2/2025,20:00,-0.625061364,2.76944,0.78871,124.752,0.103732,301.655,28.505,101320,0.17946,25.0689,5.99E-03,497.825,493.045,1.1659
21/2/2025,21:00,0.425477273,3.08391,0.411555,178.75,9.89E-02,298.923,25.773,101367,0.199837,32.4638,6.61E-03,555.971,550.085,1.17666
21/2/2025,21:30,-0.547343182,0.721008,0.360594,125.859,8.07E-02,298.48,25.33,101395,4.67E-02,33.512,6.65E-03,556.727,550.802,1.17872
21/2/2025,22:00,0.337418182,0.550853,2.30E-02,100.029,5.07E-02,296.226,23.076,101415,3.57E-02,46.0071,7.98E-03,572.288,564.984,1.18696
21/2/2025,22:30,-1.209247727,2.37119,0.551678,159.23,0.141204,296.013,22.863,101430,0.153653,39.6347,6.78E-03,557.66,551.608,1.18885
21/2/2025,23:30,0.501922727,0.728173,0.315048,20.9468,5.84E-02,294.121,20.971,101399,4.72E-02,47.5528,7.25E-03,557.529,551.059,1.19579
22/2/2025,0:30,0.469504545,1.64089,0.239648,42.2274,5.56E-02,291.389,18.239,101377,0.10633,57.7405,7.43E-03,584.401,577.45,1.20661
22/2/2025,2:00,-0.080778409,0.687883,0.287408,51.5759,5.50E-02,290.285,17.135,101347,4.46E-02,59.1666,7.11E-03,601.226,594.389,1.21108
22/2/2025,2:30,0.659438636,-0.114512,0.235858,44.7878,3.96E-02,290.239,17.089,101333,-7.42E-03,59.1263,7.08E-03,599.139,592.349,1.21112
22/2/2025,4:00,0.319447727,0.304313,0.262312,44.013,5.41E-02,289.703,16.553,101289,1.97E-02,60.3034,6.98E-03,607.949,601.154,1.2129
22/2/2025,4:30,0.183360227,0.646225,0.156262,101.689,2.11E-02,289.59,16.44,101280,4.19E-02,61.6987,7.09E-03,613.16,606.198,1.21319
22/2/2025,5:00,0.019616727,0.572272,0.366167,51.9044,5.20E-02,289.283,16.133,101281,3.71E-02,62.7932,7.08E-03,606.427,599.555,1.21451
22/2/2025,5:30,-0.459636364,0.588519,0.211077,71.9212,5.13E-02,288.852,15.702,101280,3.81E-02,61.8405,6.78E-03,618.619,611.903,1.21652
22/2/2025,6:00,0.349890909,3.56E-02,0.379867,32.9068,5.44E-02,288.686,15.536,101285,2.31E-03,63.8404,6.93E-03,618.588,611.728,1.21717
22/2/2025,6:30,0.163091136,0.231584,0.162137,81.4411,5.91E-02,288.599,15.449,101280,1.50E-02,63.7598,6.88E-03,629.316,622.385,1.21752
22/2/2025,7:00,0.690236364,1.2413,0.215485,55.4176,4.70E-02,288.45,15.3,101291,8.04E-02,64.5741,6.90E-03,623.794,616.903,1.21826
22/2/2025,7:30,-0.406231818,0.906736,0.260505,52.0806,3.69E-02,288.359,15.209,101299,5.88E-02,61.938,6.58E-03,614.002,607.535,1.21898
22/2/2025,8:00,-0.083430455,0.398912,0.116581,78.8756,2.20E-02,289.126,15.976,101302,2.58E-02,60.7087,6.77E-03,604.792,598.234,1.21564
22/2/2025,9:00,-0.822288636,4.05098,3.7289,12.7389,0.330451,299.588,26.438,101269,0.262503,28.9349,6.14E-03,534.194,528.945,1.17326
22/2/2025,10:00,1.394809091,0.107007,5.08348,7.79157,0.347793,302.093,28.943,101268,6.93E-03,25.1986,6.18E-03,521.74,516.573,1.16349
22/2/2025,10:30,2.124875,0.389875,5.03714,1.96271,0.353323,302.919,29.769,101241,2.53E-02,24.4144,6.29E-03,534.046,528.67,1.15993
22/2/2025,11:30,-3.916704545,11.495,5.1752,0.64039,0.383651,303.772,30.622,101201,0.744878,23.9692,6.48E-03,532.429,526.901,1.15607
22/2/2025,12:30,2.167795455,-0.912482,4.36072,356.877,0.357499,304.579,31.429,101124,-5.91E-02,24.7876,7.03E-03,493.926,488.37,1.15175
22/2/2025,13:00,1.608188636,4.3089,4.07057,358.415,0.365999,305.334,32.184,101070,0.279217,24.1539,7.15E-03,476.902,471.443,1.14821
22/2/2025,14:00,0.716952273,3.31849,4.65654,0.177324,0.398417,306.793,33.643,100946,0.215038,21.4997,6.92E-03,519.083,513.336,1.14151
22/2/2025,14:30,0.809402273,3.00947,4.85624,359.349,0.411455,307.233,34.083,100900,0.195014,20.7236,6.84E-03,529.453,523.659,1.13941
22/2/2025,15:00,1.023611364,9.50105,4.95292,12.455,0.315196,307.315,34.165,100872,0.615668,20.6254,6.84E-03,539.473,533.569,1.13879
22/2/2025,15:30,1.405393182,1.10248,4.43689,357.74,0.310889,307.549,34.399,100831,7.14E-02,21.3746,7.18E-03,512.949,507.053,1.13722
22/2/2025,16:30,-1.345470455,6.71078,4.2555,359.522,0.329481,308.557,35.407,100742,0.434859,20.4596,7.28E-03,486.757,481.09,1.13245
22/2/2025,17:00,-0.362922727,13.3227,4.79686,6.60823,0.315156,308.438,35.288,100704,0.863308,20.6175,7.29E-03,486.364,480.692,1.13244
22/2/2025,17:30,1.513536364,6.45851,4.21932,2.65349,0.34595,308.274,35.124,100678,0.418511,19.5916,6.86E-03,519.472,513.767,1.13305
22/2/2025,18:00,-0.50085,8.01741,4.07046,8.06303,0.287976,308.227,35.077,100654,0.519528,19.302,6.74E-03,542.926,537.065,1.13304
22/2/2025,18:30,2.193890909,5.03376,4.28442,11.3463,0.30935,307.568,34.418,100639,0.326188,20.0478,6.75E-03,547.269,541.352,1.13528
22/2/2025,19:00,0.303336364,5.77591,2.55448,0.523573,0.192249,305.912,32.762,100633,0.374279,25.6113,7.87E-03,541.404,534.586,1.14058
22/2/2025,19:30,-0.115776136,-0.395647,2.88411,14.2299,0.214925,307.126,33.976,100595,-2.56E-02,21.9142,7.21E-03,542.925,536.661,1.13611
22/2/2025,20:00,-1.67155,5.98692,3.24464,15.3538,0.205714,306.815,33.665,100584,0.387952,20.8894,6.75E-03,543.093,537.222,1.13744
22/2/2025,20:30,-0.851956818,1.0776,1.96261,30.9926,0.143367,305.449,32.299,100592,6.98E-02,23.6592,7.08E-03,546.025,539.834,1.1424
22/2/2025,21:00,1.128288636,2.7384,2.67446,23.5791,0.179074,305.045,31.895,100580,0.177448,24.3558,7.13E-03,540.247,534.082,1.14374
22/2/2025,22:30,-0.201828636,4.52356,3.7633,16.1686,0.298027,304.575,31.425,100593,0.293127,23.3081,6.64E-03,538.58,532.854,1.14599
22/2/2025,23:00,2.013315909,5.93479,3.54019,13.12,0.266395,304.025,30.875,100569,0.384574,24.0369,6.64E-03,536.585,530.882,1.1478
23/2/2025,0:30,-1.733363636,10.3994,4.88906,12.5954,0.337239,303.912,30.762,100454,0.673882,23.3775,6.42E-03,539.356,533.81,1.14706
23/2/2025,2:30,-1.997156818,4.88626,6.11368,3.12491,0.458394,304.173,31.023,100437,0.316629,21.7656,6.07E-03,534.363,529.17,1.14612
23/2/2025,3:00,-2.625727273,7.29086,4.30483,343.135,0.425679,304.037,30.887,100537,0.472447,21.8861,6.05E-03,535.662,530.472,1.1478
23/2/2025,4:30,2.849227273,6.6048,6.89841,3.53623,0.501407,302.54,29.39,100455,0.427991,24.6874,6.27E-03,525.964,520.685,1.15238
23/2/2025,5:00,1.460188636,9.14E-02,6.62956,359.406,0.476681,301.994,28.844,100440,5.93E-03,26.1479,6.43E-03,531.878,526.398,1.15417
23/2/2025,5:30,-0.635225,0.899876,7.18362,4.90621,0.504862,301.483,28.333,100443,5.83E-02,27.4408,6.56E-03,525.217,519.705,1.15608
23/2/2025,6:00,0.577736364,-0.435807,7.63064,3.12529,0.574142,300.775,27.625,100444,-2.82E-02,29.434,6.75E-03,531.483,525.741,1.15868
23/2/2025,6:30,-3.810204545,-3.82441,6.66007,6.56597,0.483681,300.333,27.183,100468,-0.247821,30.1408,6.73E-03,522.966,517.329,1.16066
23/2/2025,7:00,-0.495852273,5.717,6.06779,359.838,0.467485,299.983,26.833,100545,0.370461,31.7363,6.94E-03,522.247,516.445,1.16277
23/2/2025,7:30,-0.680434091,5.77722,5.62705,1.73264,0.426648,299.158,26.008,100617,0.374364,34.9567,7.28E-03,519.799,513.745,1.16658
23/2/2025,8:00,-2.529522727,-0.359172,2.91734,324.775,0.430412,298.901,25.751,100685,-2.33E-02,36.3128,7.44E-03,520.321,514.125,1.16825
23/2/2025,8:30,-1.567327273,-3.11897,3.89328,340.713,0.387532,298.851,25.701,100667,-0.202109,37.3923,7.64E-03,523.082,516.686,1.16809
23/2/2025,9:00,2.476545455,-0.980545,4.44979,349.393,0.402795,299.226,26.076,100638,-6.35E-02,36.3398,7.60E-03,522.739,516.385,1.16632
23/2/2025,9:30,2.001861364,3.93,4.33462,349.468,0.370161,299.494,26.344,100641,0.254664,36.5227,7.76E-03,526.974,520.435,1.1652
23/2/2025,10:00,-0.301079545,2.21825,3.92022,347.217,0.345474,300.052,26.902,100653,0.143742,35.4822,7.79E-03,524.742,518.205,1.16315
23/2/2025,11:00,0.35685,2.45094,4.77216,342.767,0.496651,302.289,29.139,100686,0.158821,30.5278,7.63E-03,521.6,515.234,1.15504
23/2/2025,11:30,0.944529545,4.98722,4.66935,335.282,0.593732,303.152,30.002,100688,0.323172,28.7071,7.54E-03,529.761,523.372,1.15183
23/2/2025,12:00,0.357,3.86017,4.81471,325.101,0.561893,303.39,30.24,100686,0.250139,27.5328,7.33E-03,527.947,521.756,1.15106
23/2/2025,12:30,1.225161364,12.5681,4.2596,331.691,0.55282,302.751,29.601,100669,0.814413,29.1498,7.48E-03,531.548,525.185,1.15318
23/2/2025,13:00,-2.112497727,-0.918707,2.80333,304.935,0.510962,302.334,29.184,100655,-5.95E-02,31.1359,7.80E-03,536.715,530.014,1.15439
23/2/2025,13:30,-0.411354545,-1.73929,2.76372,227.642,0.422316,300.166,27.016,100645,-0.112706,33.6963,7.44E-03,529.048,522.747,1.16286
23/2/2025,14:30,-1.084293182,-0.530623,1.62977,215.432,0.266967,297.272,24.122,100736,-3.44E-02,49.9357,9.29E-03,518.381,510.682,1.17393
23/2/2025,15:00,-2.473068182,0.234694,0.9216,152.638,0.220939,296.807,23.657,100790,1.52E-02,52.9907,9.59E-03,520.384,512.412,1.17619
23/2/2025,15:30,-0.417854545,2.24336,1.16079,159.946,0.267554,296.993,23.843,100836,0.145369,48.0912,8.79E-03,516.102,508.85,1.17656
23/2/2025,16:00,0.794652273,1.47274,1.67938,156.395,0.347638,297.852,24.702,100830,9.54E-02,41.333,7.95E-03,514.786,508.24,1.1737
23/2/2025,16:30,1.653172727,2.87306,1.98437,121.96,0.334531,297.815,24.665,100842,0.186174,36.2873,6.96E-03,513,507.286,1.17468
23/2/2025,17:00,0.614920455,4.00759,1.82239,122.935,0.338649,298.007,24.857,100864,0.259692,32.2383,6.25E-03,512.1,506.976,1.17469
23/2/2025,18:00,1.519825,-1.6586,1.5141,136.643,0.333018,298.27,25.12,100880,-0.107477,29.3148,5.77E-03,513.54,508.794,1.17417
23/2/2025,18:30,-0.294681818,1.6039,1.68234,139.244,0.342283,297.99,24.84,100902,0.103932,28.6188,5.54E-03,515.015,510.446,1.17569
23/2/2025,19:00,3.167568182,-2.70E-02,1.93671,127.379,0.32704,297.597,24.447,100929,-1.75E-03,28.2868,5.34E-03,516.526,512.104,1.1777
23/2/2025,19:30,0.590179545,8.13559,1.92189,151.612,0.419514,295.836,22.686,100993,0.527186,35.9123,6.10E-03,516.271,511.227,1.18492
23/2/2025,20:00,0.071852955,0.328097,1.98402,148.89,0.432652,294.425,21.275,101058,2.13E-02,41.5581,6.48E-03,513.327,508.005,1.19109
23/2/2025,20:30,-2.304818182,0.130683,1.59521,135.357,0.322212,293.415,20.265,101150,8.47E-03,45.5383,6.66E-03,514.476,508.989,1.19615
23/2/2025,21:00,1.601684091,1.58548,1.05402,130.796,0.185386,292.693,19.543,101219,0.102739,49.1934,6.88E-03,508.739,503.137,1.19976
23/2/2025,21:30,-0.675665909,3.22121,0.97421,121.014,0.13835,292.358,19.208,101291,0.208734,49.586,6.79E-03,510.982,505.432,1.20206
23/2/2025,22:00,0.013166386,0.269991,0.598012,105.153,0.136316,291.975,18.825,101351,1.75E-02,50.6797,6.77E-03,513.206,507.647,1.20436
23/2/2025,23:00,0.624445455,2.11935,0.38108,335.698,8.01E-02,290.572,17.422,101406,0.137334,57.0428,6.97E-03,524.301,518.451,1.21068
23/2/2025,23:30,-0.238170455,2.08712,0.57293,25.6858,6.26E-02,290.014,16.864,101429,0.135246,59.5157,7.02E-03,525.247,519.346,1.21326
